"filename", "language", "C", "C++", "Markdown", "comment", "blank", "total"
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\README.md", "Markdown", 0, 0, 1, 0, 1, 2
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\buftool.c", "C", 99, 0, 0, 60, 27, 186
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\disktool.c", "C", 212, 0, 0, 82, 44, 338
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\extmem.c", "C", 119, 0, 0, 52, 28, 199
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\extmem.h", "C++", 0, 21, 0, 19, 13, 53
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\main.c", "C", 109, 0, 0, 27, 23, 159
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\merger.c", "C", 177, 0, 0, 16, 27, 220
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\merger.h", "C++", 0, 19, 0, 0, 5, 24
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\selector.c", "C", 277, 0, 0, 47, 56, 380
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\selector.h", "C++", 0, 16, 0, 4, 5, 25
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\sorttool.c", "C", 48, 0, 0, 9, 10, 67
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp4\utils.h", "C++", 0, 122, 0, 30, 33, 185
"Total", "-", 1041, 178, 1, 346, 272, 1838
